Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","02213-P","Декоративна антена - 030 черна","1","0","visible","Декоративна антена - 030 черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декоративна антена - 030 черна
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративна антена изработена от пластмаса.</li>
	<li>Закрепване с помощта на двойнозалепваща лента.</li>
	<li>Универсално приложение.</li>
	<li>Цвят: Черен.</li>
	<li>Размери (ДхШхВ): 9 х&nbsp;6 х 7 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Декоративна антена - 030 черна","Декоративна антена - 030 черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","02214-P","Декоративна антена - 030 сива","1","0","visible","Декоративна антена - 030 сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декоративна антена - 030 сива
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративна антена изработена от пластмаса.</li>
	<li>Закрепване с помощта на двойнозалепваща лента.</li>
	<li>Универсално приложение.</li>
	<li>Цвят: Сребрист.</li>
	<li>Размери (ДхШхВ): 9 х&nbsp;6 х 7 см</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","5","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Декоративна антена - 030 сива","Декоративна антена - 030 сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","0241-P-2","Декоративна антена - АС 1117","1","0","visible","Декоративна антена - АС 1117. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декоративна антена - АС 1117
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративна антена</li>
	<li>Захват: Двойнолепещо</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","2","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Декоративна антена - АС 1117","Декоративна антена - АС 1117. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","02207-P","Декоративна антена - 1852 сива","1","0","visible","Декоративна антена - 1852 сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декоративна антена - 1852 сива
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративна антена с аеродинамичен дизайн.</li>
	<li>Възможност за боядисване в цвета на купето на вашия автомобил.</li>
	<li>Закрепване с помощта на двойнозалепваща лента.</li>
	<li>Универсално приложение.</li>
	<li>Продуктът е изработен от пластмаса.</li>
	<li>Цвят: сив.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","3","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Декоративна антена - 1852 сива","Декоративна антена - 1852 сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","02201-P","Антена електрическа 1865 - сива","1","0","visible","Антена електрическа 1865 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Антена електрическа 1865 - сива
<h4>Характеристики</h4>
<ul>
	
	<li>Електрическа антена с аеродинамичен дизайн.</li>
	<li>Възможност за боядисване в цвета на купето на вашия автомобил.</li>
	<li>Закрепване с помощта на двойнозалепваща лента.</li>
	<li>Универсално приложение.</li>
	<li>Продукта е изработен от пластмаса.</li>
	<li>Цвят: Тъмно сив.</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Монтаж:</span>
<ol>
	<li>Уверете се, че повърхността е чиста и суха.</li>
	<li>ремахнете предпазната лента.</li>
	<li>Притеснете внимателно за няколко минути антената към тавана за идеално залепване.</li>
</ol>
<p><span style=""color: #ff0000;""><strong>Внимание: Не монтирайте на прясно боядисан или корозирал детайл!</strong></span></p>","","","taxable","","1","","","0","0","","","","","1","","","10","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Антена електрическа 1865 - сива","Антена електрическа 1865 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","02200-P","Антена електрическа 1865 - Черна","1","0","visible","Антена електрическа 1865 - Черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Антена електрическа 1865 - Черна
<h4>Характеристики</h4>
<ul>
	
	<li>Електрическа антена с аеродинамичен дизайн.</li>
	<li>Възможност за боядисване в цвета на купето на вашия автомобил.</li>
	<li>Закрепване с помощта на двойнозалепваща лента.</li>
	<li>Универсално приложение.</li>
	<li>Продукта е изработен от пластмаса.</li>
	<li>Цвят: Черен.</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Монтаж:</span>
<ol>
	<li>Уверете се, че повърхността е чиста и суха.</li>
	<li>Премахнете предпазната лента.</li>
	<li>Притеснете внимателно за няколко минути антената към тавана за идеално залепване.</li>
</ol>
<p><span style=""color: #ff0000;""><strong>Внимание: Не монтирайте на прясно боядисан или корозирал детайл!</strong></span></p>","","","taxable","","1","","","0","0","","","","","1","","","10","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Антена електрическа 1865 - Черна","Антена електрическа 1865 - Черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","02203-P","Декоративна антена светеща - 003 - сива","1","0","visible","Декоративна антена светеща - 003 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декоративна антена светеща - 003 - сива
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративна светеща&nbsp;антена.</li>
	<li>Цвят:Сив</li>
	<li>Нисковъглеродни, екологични, енергоспестяващи.</li>
	<li>Без кабелна връзка.</li>
	<li>С литиева батерия (зареждаща се от слънчевата светлина)</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Монтаж:</span>
<ul>
	<li>Уверете се, че повърхността е чиста и суха.</li>
	<li>Премахнете предпазната лента.</li>
	<li>Притеснете внимателно за няколко минути антената към тавана за идеално залепване.</li>
</ul>
<p><span style=""color: #ff0000;""><strong>Внимание: Не монтирайте на прясно боядисан или корозирал детайл!</strong></span></p>","","","taxable","","1","","","0","0","","","","","1","","","13","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Декоративна антена светеща - 003 - сива","Декоративна антена светеща - 003 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","02202-P","Декоративна антена светеща - 003 - черна","1","0","visible","Декоративна антена светеща - 003 - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декоративна антена светеща - 003 - черна
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративна светеща&nbsp;антена.</li>
	<li>Цвят:Черен</li>
	<li>Нисковъглеродни, екологични, енергоспестяващи.</li>
	<li>Без кабелна връзка.</li>
	<li>С литиева батерия (зареждаща се от слънчевата светлина)</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Монтаж:</span>
<ol>
	<li>Уверете се, че повърхността е чиста и суха.</li>
	<li>Премахнете предпазната лента.</li>
	<li>Притеснете внимателно за няколко минути антената към тавана за идеално залепване.</li>
</ol>
<p><span style=""color: #ff0000;""><strong>Внимание: Не монтирайте на прясно боядисан или корозирал детайл!</strong></span></p>","","","taxable","","1","","","0","0","","","","","1","","","13","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Декоративна антена светеща - 003 - черна","Декоративна антена светеща - 003 - черна. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","02055-P","Декоративна антена - 2055","1","0","visible","Декоративна антена - 2055. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декоративна антена - 2055
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративна антена с аеродинамичен дизайн.</li>
	<li>Възможност за боядисване в цвета на купето на вашия автомобил.</li>
	<li>Закрепване с помощта на двойнозалепваща лента.</li>
	<li>Универсално приложение.</li>
	<li>Продукта е изработен от пластмаса.</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Монтаж:</span>
<ol>
	<li>Уверете се, че повърхността е чиста и суха.</li>
	<li>Премахнете предпазната лента.</li>
	<li>Притеснете внимателно за няколко минути антената към тавана за идеално залепване.</li>
</ol>
<p><span style=""color: #ff0000;""><strong>Внимание: Не монтирайте на прясно боядисан или корозирал детайл!</strong></span></p>","","","taxable","","1","","","0","0","","","","","1","","","5","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Декоративна антена - 2055","Декоративна антена - 2055. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","02198-P","Декоративна антена - 1064 - сива","1","0","visible","Декоративна антена - 1064 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Декоративна антена - 1064 - сива
<h4>Характеристики</h4>
<ul>
	
	<li>Декоративна антена.</li>
	<li>Цвят: Сив</li>
	<li>Материал: Висококачествена мека пластмаса.</li>
	<li>Лесно инсталиране.</li>
	<li>Размер: 152мм X 77мм.<br>
	&nbsp;</li>
	<li>Подходяща за: Всички модели BMW, можете да залепите декорацията на тавана на колата си.</li>
	<li><strong>Забележка:</strong> Това е декоративна акула, няма функция като антена.</li>
</ul>
<span style=""font-family: BebasNeueBold, sans-serif; font-size: 20px !important;"">Монтаж:</span>
<ol>
	<li>Уверете се, че повърхността е чиста и суха.</li>
	<li>Премахнете предпазната лента.</li>
	<li>Притеснете внимателно за няколко минути антената към тавана за идеално залепване.</li>
</ol>
<p><span style=""color: #ff0000;""><strong>Внимание: Не монтирайте на прясно боядисан или корозирал детайл!</strong></span></p>","","","taxable","","1","","","0","0","","","","","1","","","4","Екстериор, Екстериор > Автоантени","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","845","Декоративна антена - 1064 - сива","Декоративна антена - 1064 - сива. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
