Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","04069-P","Парфюм за автомобил ''Energy Drink'' Carbonax 150ml","1","0","visible","Парфюм за автомобил ''Energy Drink'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил ''Energy Drink'' Carbonax 150ml
","","","taxable","","1","","","0","0","","","","","1","","","12","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил ''Energy Drink'' Carbonax 150ml","Парфюм за автомобил ''Energy Drink'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","04127-P","Парфюм за автомобил ''Attraction'' Carbonax 150ml","1","0","visible","Парфюм за автомобил ''Attraction'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил ''Attraction'' Carbonax 150ml
","","","taxable","","1","","","0","0","","","","","1","","","12","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил ''Attraction'' Carbonax 150ml","Парфюм за автомобил ''Attraction'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","04126-P","Парфюм за автомобил ''Millionaire'' Carbonax 150ml","1","0","visible","Парфюм за автомобил ''Millionaire'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил ''Millionaire'' Carbonax 150ml
","","","taxable","","1","","","0","0","","","","","1","","","12","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил ''Millionaire'' Carbonax 150ml","Парфюм за автомобил ''Millionaire'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","04125-P","Парфюм за автомобил ''Code Black'' Carbonax 150ml","1","0","visible","Парфюм за автомобил ''Code Black'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил ''Code Black'' Carbonax 150ml
","","","taxable","","1","","","0","0","","","","","1","","","12","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил ''Code Black'' Carbonax 150ml","Парфюм за автомобил ''Code Black'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","04124-P","Парфюм за автомобил ''Royal Tobacco'' Carbonax 150ml","1","0","visible","Парфюм за автомобил ''Royal Tobacco'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил ''Royal Tobacco'' Carbonax 150ml
","","","taxable","","1","","","0","0","","","","","1","","","12","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил ''Royal Tobacco'' Carbonax 150ml","Парфюм за автомобил ''Royal Tobacco'' Carbonax 150ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","50360-P","Парфюм за автомобил Амтра - Ягода 50ml","1","0","visible","Парфюм за автомобил Амтра - Ягода 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил Амтра - Ягода 50ml
<h4>Характеристики</h4>
<ul>
	
	<li>Лесен и удобен за използване освежител за въздух с пулверизатор.</li>
	<li>Ефективно неутрализира неприятните миризми.</li>
	<li>Със сладък аромат на ягода.</li>
	<li>Парфюмиран аромат идеален за кола, дома или офиса.</li>
	<li>Спрей 50 мл</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил Амтра - Ягода 50ml","Парфюм за автомобил Амтра - Ягода 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","50362-P","Парфюм за автомобил Амтра - Bubble Gum 50ml","1","0","visible","Парфюм за автомобил Амтра - Bubble Gum 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил Амтра - Bubble Gum 50ml
<h4>Характеристики</h4>
<ul>
	
	<li>Лесен и удобен за използване освежител за въздух с пулверизатор.</li>
	<li>Ефективно неутрализира неприятните миризми.</li>
	<li>Парфюмиран свеж&nbsp;аромат на дъвка.</li>
	<li>Идеален за кола, дома или офиса.</li>
	<li>Ако искате да запазите аромата на сладка дъвка за по-дълго, впръсквайте&nbsp;върху стелките и тапицерията на колата си.</li>
	<li>Спрей 50 мл</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил Амтра - Bubble Gum 50ml","Парфюм за автомобил Амтра - Bubble Gum 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","50359-P","Парфюм за автомобил Амтра - Ocean 50ml","1","0","visible","Парфюм за автомобил Амтра - Ocean 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил Амтра - Ocean 50ml
<h4>Характеристики</h4>
<ul>
	
	<li>Висококачествен парфюм за автомобил със свеж&nbsp;аромат на океан.</li>
	<li>Удобен и лесен за използване освежител за въздух с пулверизатор.</li>
	<li>Ефективно неутрализира неприятните миризми.</li>
	<li>Идеален за кола, дома или офиса.</li>
	<li>Спрей 50 мл</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил Амтра - Ocean 50ml","Парфюм за автомобил Амтра - Ocean 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","50358-P","Парфюм за автомобил Амтра - New Car 50ml","1","0","visible","Парфюм за автомобил Амтра - New Car 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил Амтра - New Car 50ml
<h4>Характеристики</h4>
<ul>
	
	<li>Удобен и лесен за използване освежител за въздух с пулверизатор.</li>
	<li>Ефективно неутрализира неприятните миризми.</li>
	<li>Оставя класическия аромат на Нова кола във въздуха.</li>
	<li>Идеален за кола, дома или офиса.</li>
	<li>Спрей 50 мл</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил Амтра - New Car 50ml","Парфюм за автомобил Амтра - New Car 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","50357-P","Парфюм за автомобил Амтра - Ванилия 50ml","1","0","visible","Парфюм за автомобил Амтра - Ванилия 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Парфюм за автомобил Амтра - Ванилия 50ml
<h4>Характеристики</h4>
<ul>
	
	<li>Висококачествен парфюм за автомобил с&nbsp;приятен, ванилов аромат.</li>
	<li>Удобен и лесен за използване освежител за въздух с пулверизатор</li>
	<li>Ефективно неутрализира неприятните миризми.</li>
	<li>Идеален за кола, дома или офиса.</li>
	<li>Спрей 50 мл</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","4","Аксесоари, Аксесоари > Ароматизатори","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","899","Парфюм за автомобил Амтра - Ванилия 50ml","Парфюм за автомобил Амтра - Ванилия 50ml. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
