Вид,Код,Име,Публикувано,Подбран ли е?,Видимост в каталога,Кратко описание,Описание,Начална дата на намалението,Крайна дата на намалението,Състояние на таксата,Клас на такса,В наличност?,Наличност,Ниска наличност,Разрешаване на поръчки при изчерпани наличности?,Индивидуално продаване?,Тегло (kg),Дължина (cm),Ширина (cm),Височина (cm),Да се позволи ли на потребителите да въвеждат отзиви?,Бележка при поръчка,Промоционална цена:,Редовна цена:,Категории,Етикети,Клас на доставка,Изображения,Лимит на изтеглянията,Дни на валидност на възможността за изтегляне,Родителски,Групирани продукти,По-скъпи,Свързани,Външен адрес,Текст на бутон,Позиция,Featured attributes,Име на атрибута 1,Стойност(и) на атрибута 1,Атрибутът 1 е видим,Глобален ли е атрибутът 1,Име на атрибута 2,Стойност(и) на атрибута 2,Атрибутът 2 е видим,Глобален ли е атрибутът 2,Име на атрибута 3,Стойност(и) на атрибута 3,Атрибутът 3 е видим,Глобален ли е атрибутът 3,Име на атрибута 4,Стойност(и) на атрибута 4,Атрибутът 4 е видим,Глобален ли е атрибутът 4,Мета: rank_math_internal_links_processed,Мета: inline_featured_image,Мета: _wp_page_template,Мета: _oembed_time_4bb1519c0d48216668f4635d642ba059,Мета: _oembed_time_043af4273a985994ffee89f50281f2c0,Мета: _oembed_time_35685db3bb5eeefe73cf191626b3d519,Мета: _wp_old_date,Мета: rank_math_seo_score,Мета: rank_math_primary_product_cat,Мета: rank_math_focus_keyword,Мета: rank_math_description
"simple","26033-P","Компресор за гуми 12V - AU-1430","1","0","visible","Компресор за гуми 12V - AU-1430. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Компресор за гуми 12V - AU-1430
<h4>Характеристики</h4>
<ul>
	
	<li>Kомпресор с манометър за помпене на&nbsp;автомобилни и велосипедни гуми, въздушни матраци и надуваеми принадлежности.</li>
	<li>Изключително здрав удароустойчив пластмасов корпус.</li>
	<li>Дълъг гъвкав маркуч с удобен накрайник на резба който се монтира удобно към вентила.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Максимално работно налягане: 100&nbsp;PSI.</li>
	<li>Капацитет: 30 литра / мин.</li>
	<li>Максимална работна температура от: -40 до 50°C.</li>
	<li>Работен цикъл около 40 минути.</li>
	<li>С два накрайника за помпане в комплекта ( за топки,вело гуми , и др ).</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","34","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Компресор за гуми 12V - AU-1430","Компресор за гуми 12V - AU-1430. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","26017-P","Компресор за гуми 12V - 1420","1","0","visible","Компресор за гуми 12V - 1420. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Компресор за гуми 12V - 1420
<h4>Характеристики</h4>
<ul>
	
	<li>Модел: 26017 - 1420</li>
	<li>Подходящ за леки автомобили, велосипеди, топки, надуваеми басейни и др.</li>
	<li>Разполага с 1 бутало</li>
	<li>Лесно преносим</li>
	<li>Противоплъзгаща дръжка</li>
	<li>Здрава и олекотена конструкция</li>
	<li>Изработен от метални компоненти - проектирани да издържат години на употреба</li>
	<li>Комплекта включва три накрайника за помпене: топки, вело гуми и други</li>
	<li>Високо прецизно измерване на налягането, широк спектър от приложения</li>
	<li>ABS топлинният щит осигурява безопасната работа</li>
	<li>Манометъра е вграден в самия компресор: лесно четяща се скала от 0-100 bar налягане</li>
	<li>Напрежение: DC 12V-13.5V</li>
	<li>Номинално напрежение: 12V</li>
	<li>Максимално напрежение: 14 A</li>
	<li>Мощност: 120W</li>
	<li>Включване към запалката</li>
	<li>Максимално работно налягане: 100 PSI (10 гр/кв.м)</li>
	<li>Максимално налягане при рестарт: 150 PSI (13 кг/кв.см)</li>
	<li>Капацитет: 25 литра / мин.</li>
	<li>Максимална работна температура от: -50 до 60°C.</li>
	<li>Работен цикъл около 10-15 минути.</li>
</ul>
<ul>
	<li>Материал: метал + ABS</li>
	<li>Цвят: черен и сребрист</li>
	<li>Размер: 16 х 8 х 14 см</li>
	<li>Гъвкав маркуч с удобен накрайник, като на стандартните помпи, който се слага удобно към вентила: 50 см.</li>
	<li>Дължина на захранващия кабел: 3 м</li>
	<li>Корпус на цилиндъра: 1 х 30 мм</li>
	<li>Има бутон за включване/изключване</li>
</ul>
<ul>
	<li>1 x помпа за гуми</li>
	<li>1 игла</li>
	<li>2 x адаптер за дюзи</li>
</ul>
<ul>
	<li>Моля, стартирайте колата преди да започнете да използвате компресора</li>
	<li>Ако защитният ток на запалката е по-малък от 13A, използвайте акумулатора за да вземете електричество. Необходим е <a href=""/pr-razklonitel-za-zapalka-s-shtipki-za-akumulator-1822""><strong>разклонител за запалка с щипки за акумулатор.</strong></a></li>
</ul>
<ul>
	<li>Свържете компресора към запалката</li>
	<li>Свържете дюзата за въздух на гумата и я затегнете</li>
	<li>Включете компресора</li>
</ul>
<ul>
	<li>Положителният и отрицателният електроди на батерията са захванати чрез щипки</li>
	<li>Свържете дюзата за въздух на гумата и я затегнете</li>
	<li>Свържете захранването на компресора</li>
	<li>Включете компресора и започнете да надувате</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","31","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Компресор за гуми 12V - 1420","Компресор за гуми 12V - 1420. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","26022-P","Двуцилиндров компресор за гуми 12V - 1025","1","0","visible","Двуцилиндров компресор за гуми 12V - 1025. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Двуцилиндров компресор за гуми 12V - 1025
<h4>Характеристики</h4>
<ul>
	
	<li>Двуцилиндров компресор с манометър за помпене на микробуси, ATV, камиони, автомобилни и велосипедни гуми, въздушни матраци и надуваеми принадлежности.</li>
	<li>Изключително здрав метален корпус.</li>
	<li>Захранващ кабел - 2.5 метра.</li>
	<li>Дълъг гъвкав маркуч с удобен накрайник на резба който се монтира удобно към вентила.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Максимално работно налягане: 150&nbsp;PSI.</li>
	<li>Капацитет: 55 литра / мин.</li>
	<li>Максимална работна температура от: -55 до 60°C.</li>
	<li>Работен цикъл около 40 минути.</li>
	<li>Здрава и конструкция.</li>
	<li>С три накрайника за помпане в комплекта ( за топки,вело гуми , и др ).</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","59","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Двуцилиндров компресор за гуми 12V - 1025","Двуцилиндров компресор за гуми 12V - 1025. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","26016-P","Двуцилиндров Компресор за гуми 12V - 1021","1","0","visible","Двуцилиндров Компресор за гуми 12V - 1021. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Двуцилиндров Компресор за гуми 12V - 1021
<h4>Характеристики</h4>
<ul>
	
	<li>Компресор с манометър за помпане на 4х4, микробуси, ATV, камиони, автомобилни и велосипедни гуми, въздушни матраци и надуваеми принадлежности.</li>
	<li>Компресора е с 2-ва цилиндъра с диаметър 30мм.</li>
	<li>Гумен маркуч за помпане: 5м.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Максимална мощност: 240W (20A).</li>
	<li>Максимално работно налягане: 150 PSI (13гр/кв.м)</li>
	<li>Капацитет: 55 литра / мин.</li>
	<li>Максимална работна температура от: -50 до 60<strong>°C.</strong></li>
	<li>Удобно съхранение на адапторите за помпане.</li>
	<li>Работен цикъл около 20 минути.</li>
	<li>Здрава и олекотена конструкция.</li>
	<li>Компактна чанта за съхранение.</li>
	<li>Манометъра е на самия маркуч - лесно четяща се скала от 0-10 bar и 0-150 PSI налягане.</li>
	<li>Комплекта включва три накрайника за помпане: топки, вело гуми и други.</li>
	<li>Има бутон за включване/изключване.<br>
	<br>
	<span style=""font-weight: bold;"">Размери:</span></li>
	<li>Височина: 200мм.</li>
	<li>Дължина: 245мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","65","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Двуцилиндров Компресор за гуми 12V - 1021","Двуцилиндров Компресор за гуми 12V - 1021. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","26030-P","Компресор за гуми OSRAM - 450","1","0","visible","Компресор за гуми OSRAM - 450. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Компресор за гуми OSRAM - 450
<h4>Характеристики</h4>
<ul>
	
	<li>Налягане: 100PSI / 6Bar</li>
	<li>Работно напрежение: 12V</li>
	<li>Дължина на захранващия кабел: 3 метра</li>
	<li>Дължина на маркуча за компресия: 50см</li>
	<li>Размери: 83 х 186 х 203мм</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","111","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Компресор за гуми OSRAM - 450","Компресор за гуми OSRAM - 450. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","2618-P","Компресор за гуми 12V - 003","1","0","visible","Компресор за гуми 12V - 003. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Компресор за гуми 12V - 003
<h4>Характеристики</h4>
<ul>
	
	<li>Компресор с манометър за помпене на 4х4, микробуси, ATV, камиони, автомобилни и велосипедни гуми, въздушни матраци и надуваеми принадлежности.</li>
	<li>Изключително здрав метален корпус.</li>
	<li>Захранващ кабел - 2.5 метра.</li>
	<li>Дълъг гъвкав маркуч с удобен накрайник на резба който се монтира удобно към вентила.</li>
	<li>Дължина на маркуча - 10.5 метра.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Максимално напрежение: 30A.</li>
	<li>Максимално работно налягане: 200 PSI.</li>
	<li>Капацитет: 72 литра / мин.</li>
	<li>Максимална работна температура от: -55 до 60°C.</li>
	<li>Работен цикъл около 40 минути.</li>
	<li>Здрава и конструкция.</li>
	<li>С три накрайника за помпане в комплекта ( за топки,вело гуми , и др ).</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","108","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Компресор за гуми 12V - 003","Компресор за гуми 12V - 003. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","26009-P","Компресор за гуми 12V - 107","1","0","visible","Компресор за гуми 12V - 107. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Компресор за гуми 12V - 107
<h4>Характеристики</h4>
<ul>
	
	<li>Метален компресор с 2 бутала.</li>
	<li>Компресор с манометър за помпене на 4х4, микробуси, ATV, камиони, автомобилни и велосипедни гуми, въздушни матраци и надуваеми принадлежности.</li>
	<li>Изключително здрав метален корпус.</li>
	<li>Захранващ кабел - 3 метра.</li>
	<li>Дълъг гъвкав маркуч с удобен накрайник на резба който се монтира удобно към вентила.</li>
	<li>Дължина на маркуча - 7.5 метра.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Максимално напрежение: 45Amp.</li>
	<li>Максимално работно налягане: 150 PSI.</li>
	<li>Капацитет: 150 литра / мин.</li>
	<li>Максимална работна температура от: -50 до 60<strong><span style=""color: #545454; line-height: 18.2px;"">°C.</span></strong></li>
	<li>Бутон за <strong>включване/изключване.</strong></li>
	<li>Работен цикъл около 20 минути.</li>
	<li>Здрава и конструкция.</li>
	<li>С три накрайника за помпане в комплекта ( за топки,вело гуми , и др ).</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","154","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Компресор за гуми 12V - 107","Компресор за гуми 12V - 107. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","2610-P","Компресор за гуми 12V - С001","1","0","visible","Компресор за гуми 12V - С001. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Компресор за гуми 12V - С001
<h4>Характеристики</h4>
<ul>
	
	<li>Компресор с манометър за леки автомобили, велосипеди, топки, надуваеми басейни и др.</li>
	<li>Компресора е с 1 бутало.</li>
	<li>Захранващ кабел, който се включва в запалката - 3м.</li>
	<li>Гъвкав маркуч с удобен накрайник, като на стандартните помпи, който се слага удобно към вентила-50см.</li>
	<li>Работно напрежение: 12V.</li>
	<li>Максимално налягане: 250 PSI / 17 Atm..</li>
	<li>Капацитет: 4.5 литра / мин.</li>
	<li>Максимална работна температура от: -55 до 60°C.</li>
	<li>Манометъра е вграден в самия компресор - лесно четяща се скала от 0-100 psi и 0-7 bar налягане.</li>
	<li>Комплекта включва три накрайника за помпане: топки, вело гуми и други.</li>
	<li>Работен цикъл около 10-15 минути.</li>
	<li>Здрава и олекотена конструкция.</li>
	<li>Има бутон за включване/изключване.<br>
	<br>
	<span style=""font-weight: bold;"">Размери:</span></li>
	<li>Височина: 125мм.</li>
	<li>Дължина: 135мм.</li>
	<li>Широчина: 75мм.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","17","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Компресор за гуми 12V - С001","Компресор за гуми 12V - С001. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","26025-P","Компресор за гуми с бутилка 2L 12v - 1427","1","0","visible","Компресор за гуми с бутилка 2L 12v - 1427. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Компресор за гуми с бутилка 2L 12v - 1427
<h4>Характеристики</h4>
<ul>
	
	<li>Тегло: 4.8кг</li>
	<li>Консумирана мощност: 180W</li>
	<li>Консумация на ток: 14A</li>
	<li>Захранване: 12V (DC)</li>
	<li>Размери: 260 x 140 x 290мм</li>
	<li>Захранващ кабел: 2.8м (с щипки за клемите на акумулатора)</li>
	<li>Максимално налягане: 780kPa / балансьор на налягането</li>
	<li>Обем на въздушният резервоар: 3.5л</li>
	<li>Въздушен поток: 30 л/мин</li>
	<li>Време за пълнене на бутилката: около 2 минути</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","131","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Компресор за гуми с бутилка 2L 12v - 1427","Компресор за гуми с бутилка 2L 12v - 1427. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
"simple","43007-P","Помпа крачна - 4411","1","0","visible","Помпа крачна - 4411. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!","Помпа крачна - 4411
<p>Крачна помпа с манометър, стабилна основа и алуминиеви цилиндри.</p>
<h4>Характеристики</h4>
<ul>
	
	<li>Крачна помпа подходяща за велосипеди,мотоциклети и автомобили.</li>
	<li>Двоен накрайник на маркуча за помепене.</li>
	<li>Манометър измерващ налягането на гумата в барове.</li>
	<li>Алуминиеви цилиндри.</li>
	<li>Педал с гумено покритие, осигуряващ по-голям контакт.</li>
	<li>Подсилена основа - по-голяма стабилност при работа с помпата.</li>
	<li>Гумени подложки - по-добър контакт с повърхността.</li>
	<li>Бутон Lock / Unlock - отключване и заключване на помпата.</li>
	<li>Компактен дизайн заемащ малко пространство.</li>
	<li>Размери на помпата: 28 х 12 х 9 см.</li>
	<li>Дължина на маркуча: 70 см.</li>
</ul>
<ul>
	<li>Дължина: 12 см.</li>
	<li>Диаметър: 4.2 см.</li>
</ul>","","","taxable","","1","","","0","0","","","","","1","","","20","Аксесоари, Аксесоари > Компресори и помпи","","","https://carszona.com/wp-content/uploads/2022/05/carsz.jpg","","","","","","","","","0","a:3:{i:0;s:8:""pa_phone"";i:1;s:8:""pa_ekont"";i:2;s:9:""pa_speedy"";}","Производител","Universal","1","1","Телефон за поръчки","088-595-6256","1","1","Доставка с Еконт","Да","1","1","Доставка със Спиди","Да","1","1","1","0","default","1650192542","1650192558","1650192558","2021-01-07","63","885","Помпа крачна - 4411","Помпа крачна - 4411. Открийте най-качествените автоаксесоари в онлайн магазин CarsZona. Разгледайте нашата гама от предложения. Пазарувайте лесно и изгодно!"
